Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff,,Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff
22,829035410, Control, Flick Left,3, Correct,1054249532,1005000000,-49249532,,,14,904222818, Return, Double Flip Right,7, Correct,596293281,1010000000,413706719,
22,829035410, Control, Flick Left,4, Correct,883826927,1005000000,121173073,720111145,,14,904222818, Return, Double Flip Right,8, Correct,383167084,1010000000,626832916,-138261250
22,829035911, Control, Flick Right,0, Correct,1191329270,1004000000,-187329270,,,14,904223254, Return, Flick Down,1, Correct,352648230,1004000000,651351770,
22,829035911, Control, Flick Right,1, Correct,1021943854,1004000000,-17943854,,,14,904223254, Return, Flick Down,2, Correct,457717135,1004000000,546282865,
22,829035911, Control, Flick Right,2, Correct,1346862968,1004000000,-342862968,,,14,904223254, Return, Flick Down,3, Correct,324402135,1004000000,679597865,
22,829035911, Control, Flick Right,3, Correct,963984217,1004000000,40015783,,,14,904223254, Return, Flick Down,4, Correct,295569895,1004000000,708430105,
22,829035911, Control, Flick Right,4, Correct,964312917,1004000000,39687083,227016353,,14,904223254, Return, Flick Down,5, Correct,238414635,1004000000,765585365,87597189
22,829035654, Control, Flick Up,0, Correct,1366402811,1007000000,-359402811,,,14,904222535, Return, Flick Left,0, Correct,382047448,1005000000,622952552,
22,829035654, Control, Flick Up,1, Correct,1250201875,1007000000,-243201875,,,14,904222535, Return, Flick Left,1, Correct,299636563,1005000000,705363437,
22,829035654, Control, Flick Up,2, Correct,819750521,1007000000,187249479,,,14,904222535, Return, Flick Left,2, Correct,209993854,1005000000,795006146,
