Participant,Condition,Question,Answer
10_18_14_42_28,GlissandoF,Answer1,7.7
10_18_14_42_28,GlissandoF,Answer2,1.8
10_18_14_42_28,GlissandoF,Answer3,8.2
10_18_14_42_28,GlissandoF,Answer4,4.7
10_18_14_42_28,GlissandoF,Answer5,4.8
10_18_14_42_28,GlissandoF,Answer6,4.9
10_18_14_18_43,GlissandoM,Answer1,7.5
10_18_14_18_43,GlissandoM,Answer2,6.2
10_18_14_18_43,GlissandoM,Answer3,2.9
10_18_14_18_43,GlissandoM,Answer4,7.7
10_18_14_18_43,GlissandoM,Answer5,2.3
10_18_14_18_43,GlissandoM,Answer6,1.5
10_18_13_37_33,GlissandoF,Answer1,7.5
10_18_13_37_33,GlissandoF,Answer2,7.8
10_18_13_37_33,GlissandoF,Answer3,2.5
10_18_13_37_33,GlissandoF,Answer4,7.9
10_18_13_37_33,GlissandoF,Answer5,1.8
10_18_13_37_33,GlissandoF,Answer6,5.2
10_18_13_17_57,GlissandoM,Answer1,7.8
10_18_13_17_57,GlissandoM,Answer2,8.8
10_18_13_17_57,GlissandoM,Answer3,2.3
10_18_13_17_57,GlissandoM,Answer4,6.3
10_18_13_17_57,GlissandoM,Answer5,2.5
10_18_13_17_57,GlissandoM,Answer6,0.4
10_15_16_57_39,GlissandoS,Answer1,7.6
10_15_16_57_39,GlissandoS,Answer2,7.4
10_15_16_57_39,GlissandoS,Answer3,1.8
10_15_16_57_39,GlissandoS,Answer4,8.1
10_15_16_57_39,GlissandoS,Answer5,1.6
10_15_16_57_39,GlissandoS,Answer6,3.6
10_15_16_5_44,GlissandoS,Answer1,7.2
10_15_16_5_44,GlissandoS,Answer2,6.3
10_15_16_5_44,GlissandoS,Answer3,2.5
10_15_16_5_44,GlissandoS,Answer4,8.1
10_15_16_5_44,GlissandoS,Answer5,1.8
10_15_16_5_44,GlissandoS,Answer6,2.3
10_15_16_37_53,Silenzio,Answer1,7.2
10_15_16_37_53,Silenzio,Answer2,6.7
10_15_16_37_53,Silenzio,Answer3,3.1
10_15_16_37_53,Silenzio,Answer4,6.8
10_15_16_37_53,Silenzio,Answer5,2.8
10_15_16_37_53,Silenzio,Answer6,2
10_15_16_23_26,GlissandoF,Answer1,9.6
10_15_16_23_26,GlissandoF,Answer2,9.6
