Participant,FirstID,Condition,GestureF,IncorrectF,CorrectF,ErrorRateF,ReturnID,GestureR,IncorrectR,CorrectR,ErrorRateR,IncorrectT,CorrectT,ErrorRateT,,
36,902004143,Control,FlickDown,0,5,0,908231746,FlickDown,0,5,0,1,10,0.090909091,,
36,902003427,Control,FlickLeft,18,5,0.782608696,908231401,FlickLeft,4,5,0.444444444,2,10,0.166666667,,
36,902004100,Control,FlickRight,0,5,0,908231703,FlickRight,0,5,0,0,10,0,,
36,902003902,Control,FlickUp,1,5,0.166666667,908231521,FlickUp,0,5,0,0,10,0,,
36,902004003,Control,ALL,21,25,0.456521739,908231616,ALL,4,25,0.137931034,21,50,0.295774648,,
37,902011140,Glissando,DoubleFlip,0,5,0,909205608,DoubleFlip,0,5,0,0,10,0,,
37,902011336,Glissando,FlickDown,0,5,0,909205735,FlickDown,3,5,0.375,3,10,0.230769231,,
37,902010635,Glissando,FlickLeft,1,5,0.166666667,909205338,FlickLeft,0,5,0,1,10,0.090909091,,
37,902011227,Glissando,FlickRight,3,5,0.375,909205651,FlickRight,0,5,0,3,10,0.230769231,,
37,902011043,Glissando,FlickUp,0,5,0,909205512,FlickUp,2,5,0.285714286,2,10,0.166666667,,
37,902011140,Glissando,ALL,4,25,0.137931034,909205608,ALL,5,25,0.166666667,9,50,0.152542373,,
38,902012733,Control,DoubleFlip,6,5,0.545454545,908211813,DoubleFlip,0,5,0,6,10,0.375,,
38,902013015,Control,FlickDown,0,5,0,908211945,FlickDown,4,5,0.444444444,4,10,0.285714286,,
38,902012339,Control,FlickLeft,0,5,0,908211548,FlickLeft,0,5,0,0,10,0,,
38,902012921,Control,FlickRight,0,5,0,908211902,FlickRight,0,5,0,0,10,0,,
38,902012624,Control,FlickUp,0,5,0,908211728,FlickUp,0,5,0,0,10,0,,
38,902012733,Control,ALL,6,25,0.193548387,908211813,ALL,4,25,0.137931034,10,50,0.166666667,,
40,902022203,Control,DoubleFlip,0,5,0,909020638,DoubleFlip,1,5,0.166666667,1,10,0.090909091,,
40,902022345,Control,FlickDown,0,5,0,909020816,FlickDown,0,5,0,0,10,0,,
40,902021905,Control,FlickLeft,0,5,0,909020444,FlickLeft,0,5,0,0,10,0,,
40,902022257,Control,FlickRight,0,5,0,909020735,FlickRight,0,5,0,0,10,0,,
40,902022105,Control,FlickUp,0,5,0,909020538,FlickUp,1,5,0.166666667,1,10,0.090909091,,
40,902022203,Control,ALL,0,25,0,909020638,ALL,2,25,0.074074074,2,50,0.038461538,,
42,902033244,Control,DoubleFlip,0,5,0,910030151,DoubleFlip,0,5,0,0,10,0,,
42,902033426,Control,FlickDown,0,5,0,910030336,FlickDown,0,5,0,0,10,0,,
42,902033044,Control,FlickLeft,0,5,0,910025930,FlickLeft,0,5,0,0,10,0,,
42,902033340,Control,FlickRight,0,5,0,910030239,FlickRight,3,5,0.375,3,10,0.230769231,,
42,902033146,Control,FlickUp,1,5,0.166666667,910030105,FlickUp,0,5,0,1,10,0.090909091,,
42,902033244,Control,ALL,1,25,0.038461538,910030151,ALL,3,25,0.107142857,4,50,0.074074074,,
43,902042407,Glissando,DoubleFlip,2,5,0.285714286,910010423,DoubleFlip,14,5,0.736842105,16,10,0.615384615,,
43,902042843,Glissando,FlickDown,0,5,0,910010847,FlickDown,0,5,0,0,10,0,,
43,902042142,Glissando,FlickLeft,0,5,0,910010150,FlickLeft,4,5,0.444444444,4,10,0.285714286,,
43,902042737,Glissando,FlickRight,0,5,0,910010736,FlickRight,5,5,0.5,5,10,0.333333333,,
43,902042309,Glissando,FlickUp,0,5,0,910010332,FlickUp,1,5,0.166666667,1,10,0.090909091,,
43,902042407,Glissando,ALL,2,25,0.074074074,910010423,ALL,24,25,0.489795918,26,50,0.342105263,,
45,902040107,Control,DoubleFlip,0,5,0,909035444,DoubleFlip,0,5,0,0,10,0,,
45,902035934,Control,FlickDown,0,5,0,909035611,FlickDown,0,5,0,0,10,0,,
45,902035725,Control,FlickLeft,0,5,0,909035223,FlickLeft,0,5,0,0,10,0,,
45,902040021,Control,FlickRight,0,5,0,909035528,FlickRight,0,5,0,0,10,0,,
45,902035833,Control,FlickUp,1,5,0.166666667,909035356,FlickUp,0,5,0,1,10,0.090909091,,
45,902040107,Control,ALL,1,25,0.038461538,909035444,ALL,0,25,0,1,50,0.019607843,,
46,902230022,Glissando,DoubleFlip,1,5,0.166666667,909230015,DoubleFlip,2,5,0.285714286,3,10,0.230769231,,
46,902230159,Glissando,FlickDown,0,5,0,909230151,FlickDown,1,5,0.166666667,1,10,0.090909091,,
46,902225824,Glissando,FlickLeft,0,5,0,909225809,FlickLeft,0,5,0,0,10,0,,
46,902230114,Glissando,FlickRight,0,5,0,909230111,FlickRight,0,5,0,0,10,0,,
46,902225933,Glissando,FlickUp,0,5,0,909225932,FlickUp,0,5,0,0,10,0,,
46,902230022,Glissando,ALL,1,25,0.038461538,909230015,ALL,3,25,0.107142857,4,50,0.074074074,,
47,902235949,Control,DoubleFlip,0,5,0,908225537,DoubleFlip,3,5,0.375,3,10,0.230769231,,
47,903000154,Control,FlickDown,0,5,0,908225742,FlickDown,0,5,0,0,10,0,,
47,902235621,Control,FlickLeft,8,5,0.615384615,908225223,FlickLeft,8,5,0.615384615,16,10,0.615384615,,
47,903000051,Control,FlickRight,2,5,0.285714286,908225653,FlickRight,0,5,0,2,10,0.166666667,,
47,902235839,Control,FlickUp,0,5,0,908225358,FlickUp,6,5,0.545454545,6,10,0.375,,
47,902235949,Control,ALL,10,25,0.285714286,908225537,ALL,17,25,0.404761905,27,50,0.350649351,,
