NID,FID,Group,GestureF,IncorrectF,CorrectF,RatioF,RID,GestureR,IncorrectR,CorrectR,RatioR,IncorrectT,CorrectT,RatioT,,
46,902225824,Glissando,FL,0,5,1,909225809,FL,0,5,1,0,10,1,,
46,902230114,Glissando,FR,0,5,1,909230111,FR,0,5,1,0,10,1,,
46,902225933,Glissando,FU,0,5,1,909225932,FU,0,5,1,0,10,1,,
46,902230022,Glissando,ALL,1,25,0.961538462,909230015,ALL,3,25,0.892857143,4,50,0.925925926,,
47,902235949,Control,DF,0,5,1,908225537,DF,3,5,0.625,3,10,0.769230769,,
47,903000154,Control,FD,0,5,1,908225742,FD,0,5,1,0,10,1,,
47,902235621,Control,FL,8,5,0.384615385,908225223,FL,8,5,0.384615385,16,10,0.384615385,,
47,903000051,Control,FR,2,5,0.714285714,908225653,FR,0,5,1,2,10,0.833333333,,
47,902235839,Control,FU,0,5,1,908225358,FU,6,5,0.454545455,6,10,0.625,,
47,902235949,Control,ALL,10,25,0.714285714,908225537,ALL,17,25,0.595238095,27,50,0.649350649,,
27,901205637,Glissando,DF,0,5,1,915210334,DF,0,5,1,0,10,1,, 
27,901205910,Glissando,FD,0,5,1,915210551,FD,1,5,0.833333333,1,10,0.909090909,,
27,901205205,Glissando,FL,1,5,0.833333333,915205945,FL,6,0,0,7,5,0.416666667,,
27,901205758,Glissando,FR,0,5,1,915210424,FR,3,5,0.625,3,10,0.769230769,,
27,901205534,Glissando,FU,0,5,1,915210239,FU,0,5,1,0,10,1,,
27,901205534,Glissando,ALL,1,25,0.961538462,915210239,FU,10,20,0.666666667,11,45,0.803571429,,
48,912041858,Glissando,DF,0,5,1,917234843,DF,0,5,1,0,10,1,,
48,912042049,Glissando,FD,0,5,1,917235057,FD,0,5,1,0,10,1,,
48,912041542,Glissando,FL,0,5,1,917234505,FL,9,0,0,9,5,0.357142857,,
48,912042001,Glissando,FR,0,5,1,917234932,FR,12,0,0,12,5,0.294117647,,
48,912041801,Glissando,FU,0,5,1,917234752,FU,0,5,1,0,10,1,,
48,912041801,Glissando,ALL,0,25,1,915210239,FU,21,15,0.416666667,21,40,0.655737705,,
