ParticipantID,Condition,Participated,Question,Answer,Group,LongQuestion
10_22_15_33_52,GlissandoS,no,Q4,8.15,Glissando,Audio feedback did not help me learn the timing of the gesture
10_22_15_44_45,GlissandoM,no,Q1,9.08,Glissando,Audio feedback helped me learn the movement of the gesture
10_22_15_44_45,GlissandoM,no,Q2,6.77,Glissando,Audio feedback did not help me learn the movement of the gesture
10_22_15_44_45,GlissandoM,no,Q3,0.77,Glissando,Audio feedback helped me learn the timing of the gesture
10_22_15_44_45,GlissandoM,no,Q4,8.23,Glissando,Audio feedback did not help me learn the timing of the gesture
10_22_16_5_13,Silenzio,yes,Q1,9.69,Control,Audio feedback helped me learn the movement of the gesture
10_22_16_5_13,Silenzio,yes,Q2,9.69,Control,Audio feedback did not help me learn the movement of the gesture
10_22_16_5_13,Silenzio,yes,Q3,0.31,Control,Audio feedback helped me learn the timing of the gesture
10_22_16_5_13,Silenzio,yes,Q4,0.69,Control,Audio feedback did not help me learn the timing of the gesture
10_30_20_58_57,GlissandoM,no,Q1,10,Glissando,Audio feedback helped me learn the movement of the gesture
10_30_20_58_57,GlissandoM,no,Q2,10,Glissando,Audio feedback did not help me learn the movement of the gesture
10_30_20_58_57,GlissandoM,no,Q3,0,Glissando,Audio feedback helped me learn the timing of the gesture
10_30_20_58_57,GlissandoM,no,Q4,10,Glissando,Audio feedback did not help me learn the timing of the gesture
10_30_21_26_1,Silenzio,no,Q1,9.08,Control,Audio feedback helped me learn the movement of the gesture
10_30_21_26_1,Silenzio,no,Q2,9,Control,Audio feedback did not help me learn the movement of the gesture
10_30_21_26_1,Silenzio,no,Q3,0.54,Control,Audio feedback helped me learn the timing of the gesture
10_30_21_26_1,Silenzio,no,Q4,9.08,Control,Audio feedback did not help me learn the timing of the gesture
10_30_21_36_59,Silenzio,yes,Q1,3.46,Control,Audio feedback helped me learn the movement of the gesture
10_30_21_36_59,Silenzio,yes,Q2,1.77,Control,Audio feedback did not help me learn the movement of the gesture
10_30_21_36_59,Silenzio,yes,Q3,6.92,Control,Audio feedback helped me learn the timing of the gesture
10_30_21_36_59,Silenzio,yes,Q4,6.54,Control,Audio feedback did not help me learn the timing of the gesture
11_2_14_52_20,GlissandoM,no,Q1,8.92,Glissando,Audio feedback helped me learn the movement of the gesture
11_2_14_52_20,GlissandoM,no,Q2,8.85,Glissando,Audio feedback did not help me learn the movement of the gesture
11_2_14_52_20,GlissandoM,no,Q3,1,Glissando,Audio feedback helped me learn the timing of the gesture
11_2_14_52_20,GlissandoM,no,Q4,1,Glissando,Audio feedback did not help me learn the timing of the gesture
